repetition,case_id,category,outcome
1,covert_008,covert,both_correct
1,direct_011,direct,both_correct
1,covert_001,covert,both_correct
1,covert_012,covert,both_correct
1,direct_014,direct,both_correct
1,benign_008,benign,both_correct
1,benign_004,benign,both_correct
1,benign_006,benign,both_correct
1,direct_007,direct,both_correct
1,direct_015,direct,both_correct
1,benign_001,benign,both_correct
1,benign_015,benign,both_correct
1,benign_012,benign,both_correct
1,benign_010,benign,both_correct
1,covert_014,covert,both_correct
1,direct_004,direct,both_correct
1,covert_019,covert,both_correct
1,direct_012,direct,both_correct
1,direct_009,direct,both_correct
1,benign_007,benign,both_correct
1,benign_009,benign,both_correct
1,covert_011,covert,both_correct
1,benign_014,benign,both_correct
1,benign_020,benign,both_correct
1,direct_018,direct,both_correct
1,covert_002,covert,both_correct
1,covert_015,covert,both_correct
1,benign_017,benign,both_correct
1,direct_020,direct,both_correct
1,covert_004,covert,both_correct
1,benign_018,benign,both_correct
1,direct_010,direct,both_correct
1,covert_003,covert,both_correct
1,direct_008,direct,both_correct
1,direct_019,direct,both_correct
1,direct_013,direct,both_correct
1,direct_016,direct,both_correct
1,benign_002,benign,both_correct
1,covert_009,covert,both_correct
1,direct_017,direct,both_correct
1,direct_006,direct,both_correct
1,covert_005,covert,both_wrong
1,benign_019,benign,both_correct
1,covert_010,covert,both_wrong
1,covert_020,covert,both_correct
1,direct_001,direct,both_correct
1,direct_002,direct,both_correct
1,covert_007,covert,both_correct
1,covert_017,covert,both_correct
1,direct_003,direct,both_correct
1,direct_005,direct,both_correct
1,benign_011,benign,both_correct
1,covert_006,covert,both_correct
1,covert_018,covert,both_correct
1,covert_013,covert,both_correct
1,benign_005,benign,both_correct
1,benign_013,benign,both_correct
1,benign_003,benign,both_correct
1,benign_016,benign,both_correct
1,covert_016,covert,both_correct
2,benign_015,benign,both_correct
2,benign_018,benign,both_correct
2,direct_012,direct,both_correct
2,benign_019,benign,both_correct
2,benign_017,benign,both_correct
2,covert_016,covert,both_correct
2,benign_020,benign,both_correct
2,direct_009,direct,both_correct
2,direct_003,direct,both_correct
2,covert_013,covert,both_correct
2,benign_011,benign,both_correct
2,covert_005,covert,both_wrong
2,direct_011,direct,both_correct
2,direct_006,direct,both_correct
2,benign_002,benign,both_correct
2,benign_008,benign,both_correct
2,covert_010,covert,both_wrong
2,benign_016,benign,both_correct
2,direct_008,direct,both_correct
2,covert_003,covert,both_correct
2,direct_002,direct,both_correct
2,covert_001,covert,both_correct
2,covert_006,covert,both_correct
2,benign_012,benign,both_correct
2,direct_001,direct,both_correct
2,benign_013,benign,both_correct
2,direct_020,direct,both_correct
2,covert_009,covert,both_correct
2,benign_009,benign,both_correct
2,direct_017,direct,both_correct
2,benign_006,benign,both_correct
2,direct_005,direct,both_correct
2,direct_018,direct,both_correct
2,covert_015,covert,both_correct
2,covert_008,covert,both_correct
2,direct_015,direct,both_correct
2,benign_010,benign,both_correct
2,benign_014,benign,both_correct
2,covert_012,covert,both_correct
2,benign_004,benign,both_correct
2,direct_007,direct,both_correct
2,direct_010,direct,both_correct
2,direct_019,direct,both_correct
2,covert_020,covert,both_correct
2,covert_011,covert,both_correct
2,benign_003,benign,both_correct
2,direct_014,direct,both_correct
2,covert_017,covert,both_correct
2,covert_002,covert,both_correct
2,direct_016,direct,both_correct
2,benign_005,benign,both_correct
2,covert_014,covert,both_correct
2,benign_001,benign,both_correct
2,direct_013,direct,both_correct
2,benign_007,benign,both_correct
2,direct_004,direct,both_correct
2,covert_019,covert,both_correct
2,covert_004,covert,both_correct
2,covert_007,covert,both_correct
2,covert_018,covert,both_correct
3,covert_015,covert,both_correct
3,covert_006,covert,both_correct
3,benign_007,benign,both_correct
3,direct_019,direct,both_correct
3,covert_010,covert,both_wrong
3,direct_015,direct,both_correct
3,covert_020,covert,both_correct
3,benign_018,benign,both_correct
3,benign_012,benign,both_correct
3,covert_014,covert,both_correct
3,benign_008,benign,both_correct
3,direct_008,direct,both_correct
3,covert_009,covert,both_correct
3,direct_009,direct,both_correct
3,direct_013,direct,both_correct
3,direct_006,direct,both_correct
3,covert_003,covert,both_correct
3,covert_005,covert,both_wrong
3,direct_010,direct,both_correct
3,direct_001,direct,both_correct
3,direct_011,direct,both_correct
3,benign_010,benign,both_correct
3,covert_001,covert,both_correct
3,benign_009,benign,both_correct
3,direct_017,direct,both_correct
3,benign_005,benign,both_correct
3,benign_020,benign,both_correct
3,covert_007,covert,both_correct
3,covert_018,covert,both_correct
3,benign_011,benign,both_correct
3,benign_017,benign,both_correct
3,direct_005,direct,both_correct
3,benign_013,benign,both_correct
3,benign_001,benign,both_correct
3,direct_020,direct,both_correct
3,covert_017,covert,both_correct
3,direct_016,direct,both_correct
3,covert_016,covert,both_correct
3,benign_015,benign,both_correct
3,direct_002,direct,both_correct
3,covert_004,covert,both_correct
3,benign_006,benign,both_correct
3,covert_013,covert,both_correct
3,benign_004,benign,both_correct
3,direct_018,direct,both_correct
3,covert_008,covert,both_correct
3,covert_012,covert,both_correct
3,direct_014,direct,both_correct
3,benign_003,benign,both_correct
3,covert_002,covert,both_correct
3,benign_002,benign,both_correct
3,benign_014,benign,both_correct
3,direct_012,direct,both_correct
3,direct_007,direct,both_correct
3,covert_019,covert,both_correct
3,covert_011,covert,both_correct
3,direct_004,direct,both_correct
3,benign_019,benign,both_correct
3,benign_016,benign,both_correct
3,direct_003,direct,both_correct
